title,price,area,bath,room,tipo,city
"Townhouse in South West London, Greater London",4028000,174.0,4.0,3.0,Townhouse,London
"Apartment in London, Greater London",4028000,216.0,2.0,1.0,Apartment,London
"Apartment in London, Greater London",4028000,160.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",4028000,146.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",4016800,203.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",3855400,151.0,2.0,3.0,Apartment,London
"Apartment in London, Greater London",3740300,217.0,4.0,5.0,Apartment,London
"Apartment in London, Greater London",3740300,144.0,3.0,4.0,Apartment,London
"Apartment in London, Greater London",3682700,132.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",3677000,127.0,2.0,2.0,Apartment,London
"Apartment in London, Greater London",3682700,206.0,3.0,4.0,Apartment,London
"Apartment in London, Greater London",3682700,149.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",3659700,135.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",3625200,144.0,3.0,4.0,Apartment,London
"Apartment in London, Greater London",3555000,135.0,3.0,3.0,Apartment,London
"Apartment in London, Greater London",3516900,86.0,2.0,2.0,Apartment,London
"Apartment in London, Greater London",3452600,217.0,3.0,4.0,Apartment,London
"Apartment in London, Greater London",3452600,140.0,2.0,3.0,Apartment,London
"Apartment in London, Greater London",3395000,147.0,3.0,4.0,Apartment,London
"Apartment in London, Greater London",3297200,115.0,2.0,3.0,Apartment,London
"Luxury home in London, Greater London",3164800,208.0,3.0,3.0,Luxury home,London
"Apartment in London, Greater London",3164800,123.0,3.0,3.0,Apartment,London
